title,amount,date
Techie Treasures Electronics,129.99,2023-09-01
Mountain Gear Outpost,72.5,2023-09-02
Healthy Haven Supermarket,45.2,2023-09-03
FitTech Gadgets Emporium,149.95,2023-09-04
CodeCrafters Software Subscription,19.99,2023-09-05
Wilderness Warriors Outdoor Workshop,80,2023-09-06
PowerUp Utilities Bill Payment,85,2023-09-07
CineMax Movie Night Tickets,25,2023-09-08
GymVibes Fitness Membership Fee,60,2023-09-09
Protein Paradise Supplements Store,45.75,2023-09-10
Cafe Fusion - Dinner,42.6,2023-09-11
Camping World Gear Haven,110.25,2023-09-12
FuelUp Gasoline Refill - Chevron,45.5,2023-09-13
Green Basket Grocery Shopping,65.3,2023-09-14
CodeNerd Online Course - Programming,149,2023-09-15
TrailBlazers Hiking Trail Permit,12,2023-09-16
FitGear Watch Store,199.99,2023-09-17
ReelFlicks Movie Streaming Subscription,12.99,2023-09-18
Cafe Fusion - Brunch,28.75,2023-09-19
Outland Outfitters Outdoor Apparel,55.3,2023-09-20
HealthyLife Healthcare Clinic - Checkup,120,2023-09-21
SkyHigh Airways Flight Booking,350,2023-09-22
TechBoutique Electronics Store,89.95,2023-09-23
PowerUp Utilities Bill Payment,80,2023-09-24
Harmony Harmonies Concert Tickets,75,2023-09-25
FootWorks Running Shoes,79.99,2023-09-26
Fresh Harvest Grocery Shopping,42.4,2023-09-27
CineMax Movie Night Tickets,35,2023-09-28
ClimbFit Gear Pro Shop,135.5,2023-09-29
CityRide Public Transit Pass - Monthly,20,2023-09-30
CodeCrafters Software Subscription,19.99,2023-10-01
Wilderness Warriors Outdoor Workshop,75,2023-10-02
PowerUp Utilities Bill Payment,85,2023-10-03
CineMax Movie Night Tickets,28,2023-10-04
GymVibes Fitness Membership Fee,60,2023-10-05
Protein Paradise Supplements Store,45.75,2023-10-06
Cafe Fusion - Lunch,36.5,2023-10-07
Camping World Gear Haven,99.5,2023-10-08
FuelUp Gasoline Refill - Chevron,50.25,2023-10-09
Green Basket Grocery Shopping,62.8,2023-10-10
CodeNerd Online Course - Data Science,199,2023-10-11
TrailBlazers Hiking Trail Permit,15,2023-10-12
FitGear Watch Store,179.99,2023-10-13
ReelFlicks Movie Streaming Subscription,12.99,2023-10-14
Cafe Fusion - Dinner,45.75,2023-10-15
Outland Outfitters Outdoor Apparel,55.3,2023-10-16
HealthyLife Healthcare Clinic - Checkup,120,2023-10-17
SkyHigh Airways Flight Booking,350,2023-10-18
TechBoutique Electronics Store,89.95,2023-10-19
PowerUp Utilities Bill Payment,80,2023-10-20
Harmony Harmonies Concert Tickets,80,2023-10-21
FootWorks Running Shoes,89.99,2023-10-22
Fresh Harvest Grocery Shopping,48.7,2023-10-23
CineMax Movie Night Tickets,35,2023-10-24
ClimbFit Gear Pro Shop,135.5,2023-10-25
CityRide Public Transit Pass - Monthly,22,2023-10-26
CodeCrafters Software Subscription,19.99,2023-10-27
Wilderness Warriors Outdoor Workshop,75,2023-10-28
PowerUp Utilities Bill Payment,85,2023-10-29
CineMax Movie Night Tickets,25,2023-10-30
GymVibes Fitness Membership Fee,60,2023-10-31
Protein Paradise Supplements Store,45.75,2023-11-01
Cafe Fusion - Brunch,28.75,2023-11-02
Camping World Gear Haven,110.25,2023-11-03
FuelUp Gasoline Refill - Chevron,50.25,2023-11-04
Green Basket Grocery Shopping,65.3,2023-11-05
CodeNerd Online Course - Programming,149,2023-11-06
TrailBlazers Hiking Trail Permit,12,2023-11-07
FitGear Watch Store,199.99,2023-11-08
ReelFlicks Movie Streaming Subscription,12.99,2023-11-09
Cafe Fusion - Dinner,42.6,2023-11-10
Outland Outfitters Outdoor Apparel,55.3,2023-11-11
HealthyLife Healthcare Clinic - Checkup,120,2023-11-12
SkyHigh Airways Flight Booking,350,2023-11-13
TechBoutique Electronics Store,89.95,2023-11-14
PowerUp Utilities Bill Payment,80,2023-11-15
Harmony Harmonies Concert Tickets,75,2023-11-16
FootWorks Running Shoes,79.99,2023-11-17
Fresh Harvest Grocery Shopping,42.4,2023-11-18
CineMax Movie Night Tickets,35,2023-11-19
ClimbFit Gear Pro Shop,135.5,2023-11-20
CityRide Public Transit Pass - Monthly,20,2023-11-21